commit_hour,day_of_week,is_weekend,is_night_commit,lines_added,lines_deleted,files_changed,test_files_changed,num_methods,avg_complexity,is_buggy,language_group,time_period,confidence,churn_ratio,test_ratio,complexity_per_file,prior_bugs_author
17,3,0,0,798,252,11,0,7,6.86,0,Python,2018-2020,1.0,3.15,0.0,0.57,0
17,6,1,0,3342,496,25,5,156,3.92,0,Python,2018-2020,1.0,6.72,0.19,0.15,0
20,6,1,0,32,6,4,3,5,17.6,0,Python,2018-2020,1.0,4.57,0.6,3.52,0
14,0,0,0,43,5,6,3,9,4.0,0,Python,2018-2020,1.0,7.17,0.43,0.57,0
14,0,0,0,2,2,1,0,1,25.0,0,Python,2018-2020,1.0,0.67,0.0,12.5,0
7,2,0,0,579,17,9,2,25,4.28,0,Python,2018-2020,1.0,32.17,0.2,0.43,0
8,1,0,0,15,6,3,1,3,5.33,0,Python,2018-2020,1.0,2.14,0.25,1.33,0
13,3,0,0,0,3,1,0,0,0.0,0,Python,2018-2020,1.0,0.0,0.0,0.0,0
7,6,1,0,30,9,4,1,0,0.0,0,Python,2018-2020,1.0,3.0,0.2,0.0,0
7,6,1,0,44,60,3,1,29,4.48,0,Python,2018-2020,1.0,0.72,0.25,1.12,0
12,6,1,0,24,21,3,0,0,0.0,0,Python,2018-2020,1.0,1.09,0.0,0.0,0
9,0,0,0,14,1,2,0,0,0.0,0,Python,2018-2020,1.0,7.0,0.0,0.0,0
13,6,1,0,5,6,2,0,0,0.0,0,Python,2018-2020,1.0,0.71,0.0,0.0,0
13,6,1,0,1,1,1,0,0,0.0,0,Python,2018-2020,1.0,0.5,0.0,0.0,0
13,6,1,0,1,1,1,0,0,0.0,0,Python,2018-2020,1.0,0.5,0.0,0.0,0
17,0,0,0,22,26,2,0,2,2.0,0,Python,2018-2020,1.0,0.81,0.0,0.67,0
20,0,0,0,43,52,3,2,8,2.0,0,Python,2018-2020,1.0,0.81,0.5,0.5,0
13,6,1,0,2,2,2,1,0,0.0,0,Python,2018-2020,1.0,0.67,0.33,0.0,0
17,0,0,0,2133,651,24,4,86,9.31,1,Python,2018-2020,0.455,3.27,0.16,0.37,0
18,0,0,0,12,9,2,0,0,0.0,0,Python,2018-2020,1.0,1.2,0.0,0.0,1
20,0,0,0,721,676,7,1,1,9.0,0,Python,2018-2020,1.0,1.06,0.12,1.12,1
20,0,0,0,12,3,2,0,2,17.5,0,Python,2018-2020,1.0,3.0,0.0,5.83,1
14,1,0,0,37,13,4,1,2,10.0,0,Python,2018-2020,1.0,2.64,0.2,2.0,1
17,1,0,0,1064,395,10,0,1,10.0,0,Python,2018-2020,1.0,2.69,0.0,0.91,1
17,1,0,0,8,2,2,1,2,8.5,0,Python,2018-2020,1.0,2.67,0.33,2.83,1
19,1,0,0,11,5,2,0,10,19.2,0,Python,2018-2020,1.0,1.83,0.0,6.4,1
20,1,0,0,62,24,5,3,17,5.35,0,Python,2018-2020,1.0,2.48,0.5,0.89,1
7,2,0,0,2,2,1,0,2,23.0,0,Python,2018-2020,1.0,0.67,0.0,11.5,1
13,2,0,0,39,20,8,5,10,6.7,0,Python,2018-2020,1.0,1.86,0.56,0.74,1
20,2,0,0,25,21,1,0,2,14.5,0,Python,2018-2020,1.0,1.14,0.0,7.25,0
11,3,0,0,71,10,5,1,4,21.75,0,Python,2018-2020,1.0,6.45,0.17,3.62,0
16,5,1,0,17,6,3,1,2,7.0,0,Python,2018-2020,1.0,2.43,0.25,1.75,0
16,5,1,0,1055,484,22,3,37,5.0,0,Python,2018-2020,1.0,2.18,0.13,0.22,1
17,5,1,0,33,5,4,2,8,5.25,0,Python,2018-2020,1.0,5.5,0.4,1.05,0
17,5,1,0,45,45,9,0,0,0.0,0,Python,2018-2020,1.0,0.98,0.0,0.0,1
8,6,1,0,14,16,3,0,1,4.0,0,Python,2018-2020,1.0,0.82,0.0,1.0,1
19,6,1,0,8,123,4,1,9,6.67,0,Python,2018-2020,1.0,0.06,0.2,1.33,1
18,1,0,0,1243,170,11,1,3,5.0,0,Python,2018-2020,1.0,7.27,0.08,0.42,1
20,1,0,0,12,3,2,1,2,4.5,0,Python,2018-2020,1.0,3.0,0.33,1.5,1
11,2,0,0,25,14,3,1,4,9.25,1,Python,2018-2020,0.009,1.67,0.25,2.31,1
9,3,0,0,72,76,4,1,2,2.0,0,Python,2018-2020,1.0,0.94,0.2,0.4,2
9,3,0,0,9,13,3,0,4,5.0,0,Python,2018-2020,1.0,0.64,0.0,1.25,2
19,4,0,0,175,75,11,3,17,11.0,0,Python,2018-2020,1.0,2.3,0.25,0.92,2
